split,model,probability_range,count,mean_predicted_probability,observed_accuracy
TRAINING,gradient_boosting,0.5-0.6,693,0.548858611589231,0.5743145743145743
TRAINING,gradient_boosting,0.6-0.7,729,0.6473914300784736,0.6570644718792867
TRAINING,gradient_boosting,0.7-0.8,664,0.738219172623733,0.8117469879518072
TRAINING,gradient_boosting,0.8-0.9,117,0.8301154372094819,0.9658119658119658
TRAINING,gradient_boosting,0.9-1.0,0,,
TRAINING,historical_frequency,0.0-0.1,0,,
TRAINING,historical_frequency,0.1-0.2,0,,
TRAINING,historical_frequency,0.2-0.3,0,,
TRAINING,historical_frequency,0.3-0.4,0,,
TRAINING,historical_frequency,0.4-0.5,4180,0.44617224880382794,0.4461722488038278
TRAINING,historical_frequency,0.5-0.6,0,,
TRAINING,historical_frequency,0.6-0.7,0,,
TRAINING,historical_frequency,0.7-0.8,0,,
TRAINING,historical_frequency,0.8-0.9,0,,
TRAINING,historical_frequency,0.9-1.0,0,,
TRAINING,logistic_regression,0.0-0.1,0,,
TRAINING,logistic_regression,0.1-0.2,0,,
TRAINING,logistic_regression,0.2-0.3,0,,
TRAINING,logistic_regression,0.3-0.4,659,0.37559324057075477,0.3960546282245827
TRAINING,logistic_regression,0.4-0.5,1165,0.4485211298716613,0.4231759656652361
TRAINING,logistic_regression,0.5-0.6,867,0.5467206958998116,0.5594002306805075
TRAINING,logistic_regression,0.6-0.7,610,0.6476833547688455,0.6475409836065574
TRAINING,logistic_regression,0.7-0.8,583,0.7470449259890136,0.7530017152658662
TRAINING,logistic_regression,0.8-0.9,282,0.8366455808902251,0.8262411347517731
TRAINING,logistic_regression,0.9-1.0,14,0.915012624424879,0.9285714285714286
TRAINING,random_forest,0.0-0.1,0,,
TRAINING,random_forest,0.1-0.2,0,,
TRAINING,random_forest,0.2-0.3,0,,
TRAINING,random_forest,0.3-0.4,732,0.37319765409974026,0.4275956284153005
TRAINING,random_forest,0.4-0.5,1252,0.44464383378653227,0.48801916932907347
TRAINING,random_forest,0.5-0.6,687,0.5480683261132043,0.5749636098981077
TRAINING,random_forest,0.6-0.7,684,0.6479978492843907,0.7002923976608187
TRAINING,random_forest,0.7-0.8,605,0.7477993720965457,0.8776859504132232
TRAINING,random_forest,0.8-0.9,220,0.8342230219354609,0.9863636363636363
TRAINING,random_forest,0.9-1.0,0,,
VALIDATION,bookmaker_probability,0.0-0.1,0,,
VALIDATION,bookmaker_probability,0.1-0.2,0,,
VALIDATION,bookmaker_probability,0.2-0.3,0,,
VALIDATION,bookmaker_probability,0.3-0.4,114,0.3788488646448255,0.49122807017543857
VALIDATION,bookmaker_probability,0.4-0.5,225,0.451998909054275,0.4177777777777778
VALIDATION,bookmaker_probability,0.5-0.6,175,0.5495528203754161,0.6228571428571429
VALIDATION,bookmaker_probability,0.6-0.7,130,0.6478178376077194,0.6923076923076923
VALIDATION,bookmaker_probability,0.7-0.8,81,0.745299421153335,0.7283950617283951
VALIDATION,bookmaker_probability,0.8-0.9,35,0.8363184236045381,0.8857142857142857
VALIDATION,bookmaker_probability,0.9-1.0,0,,
VALIDATION,gradient_boosting,0.0-0.1,0,,
VALIDATION,gradient_boosting,0.1-0.2,0,,
VALIDATION,gradient_boosting,0.2-0.3,0,,
VALIDATION,gradient_boosting,0.3-0.4,78,0.375105845245265,0.34615384615384615
VALIDATION,gradient_boosting,0.4-0.5,193,0.445344207399279,0.41450777202072536
VALIDATION,gradient_boosting,0.5-0.6,180,0.555444481090367,0.5444444444444444
VALIDATION,gradient_boosting,0.6-0.7,174,0.6488099366014426,0.6551724137931034
VALIDATION,gradient_boosting,0.7-0.8,112,0.7410651041292571,0.75
VALIDATION,gradient_boosting,0.8-0.9,23,0.8259674651852634,0.9130434782608695
VALIDATION,gradient_boosting,0.9-1.0,0,,
VALIDATION,historical_frequency,0.0-0.1,0,,
VALIDATION,historical_frequency,0.1-0.2,0,,
VALIDATION,historical_frequency,0.2-0.3,0,,
VALIDATION,historical_frequency,0.3-0.4,0,,
VALIDATION,historical_frequency,0.4-0.5,760,0.44617224880382794,0.4723684210526316
VALIDATION,historical_frequency,0.5-0.6,0,,
VALIDATION,historical_frequency,0.6-0.7,0,,
VALIDATION,historical_frequency,0.7-0.8,0,,
VALIDATION,historical_frequency,0.8-0.9,0,,
VALIDATION,historical_frequency,0.9-1.0,0,,
VALIDATION,logistic_regression,0.0-0.1,0,,
VALIDATION,logistic_regression,0.1-0.2,0,,
VALIDATION,logistic_regression,0.2-0.3,0,,
VALIDATION,logistic_regression,0.3-0.4,65,0.37459104274052124,0.35384615384615387
VALIDATION,logistic_regression,0.4-0.5,201,0.44770916516351716,0.4577114427860697
VALIDATION,logistic_regression,0.5-0.6,182,0.5463040438414601,0.521978021978022
VALIDATION,logistic_regression,0.6-0.7,138,0.6440090455194528,0.6376811594202898
VALIDATION,logistic_regression,0.7-0.8,110,0.7469145254096221,0.7545454545454545
VALIDATION,logistic_regression,0.8-0.9,56,0.839668881254242,0.7857142857142857
VALIDATION,logistic_regression,0.9-1.0,8,0.9135856806243774,0.875
VALIDATION,random_forest,0.0-0.1,0,,
VALIDATION,random_forest,0.1-0.2,0,,
VALIDATION,random_forest,0.2-0.3,0,,
VALIDATION,random_forest,0.3-0.4,102,0.3756904992784769,0.39215686274509803
VALIDATION,random_forest,0.4-0.5,238,0.4476813833248611,0.42436974789915966
VALIDATION,random_forest,0.5-0.6,177,0.5541251126147548,0.576271186440678
VALIDATION,random_forest,0.6-0.7,137,0.6458906002649184,0.6934306569343066
VALIDATION,random_forest,0.7-0.8,87,0.7409380840472795,0.8160919540229885
VALIDATION,random_forest,0.8-0.9,19,0.8302808647864899,0.8947368421052632
VALIDATION,random_forest,0.9-1.0,0,,
