split,model,strategy,match_id,season,selection,model_probability,market_probability,estimated_edge,odds,actual_result,won,profit
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|Newcastle|Blackburn,2011/12,H,0.5715285349836755,0.5182625863770978,0.05326594860657774,1.83,H,True,0.8300000000000001
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|West Brom|Fulham,2011/12,A,0.38159734213928365,0.2929936305732484,0.08860371156603525,3.25,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-24|Wigan|Tottenham,2011/12,A,0.584477805299916,0.4942630185348632,0.09021478676505279,1.91,A,True,0.9099999999999999
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-25|QPR|Aston Villa,2011/12,H,0.4770627955304926,0.41212601545472566,0.06493678007576692,2.3,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-09-26|Norwich|Sunderland,2011/12,H,0.4841219619816366,0.38049560351718625,0.10362635846445034,2.5,H,True,1.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-01|Aston Villa|Wigan,2011/12,A,0.211288101617776,0.15863689776733256,0.052651203850443445,6.0,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-01|Blackburn|Man City,2011/12,A,0.8256991048391151,0.6023352072650893,0.22336389757402586,1.57,A,True,0.5700000000000001
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-01|Man United|Norwich,2011/12,H,0.895306662698974,0.8090834919771553,0.08622317072181862,1.17,H,True,0.16999999999999993
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-01|Sunderland|West Brom,2011/12,H,0.5104162248368775,0.42285270112708895,0.0875635237097886,2.25,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-02|Bolton|Chelsea,2011/12,A,0.7523934823366286,0.6180910495661476,0.13430243277048104,1.53,A,True,0.53
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-02|Fulham|QPR,2011/12,H,0.5894369150314452,0.47482014388489213,0.11461677114655311,2.0,H,True,1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-02|Swansea|Stoke,2011/12,H,0.4367648259868212,0.36158592090624053,0.07517890508058067,2.63,H,True,1.63
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-02|Tottenham|Arsenal,2011/12,A,0.485013078367967,0.2705570291777188,0.2144560491902482,3.5,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-15|Liverpool|Man United,2011/12,D,0.3929890314010601,0.2877697841726619,0.1052192472283982,3.3,D,True,2.3
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-15|Man City|Aston Villa,2011/12,H,0.8220852919511141,0.7147962830593281,0.10728900889178605,1.33,H,True,0.33000000000000007
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-16|Arsenal|Sunderland,2011/12,D,0.3315012550056943,0.21813686876643598,0.11336438623925829,4.33,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-16|Newcastle|Tottenham,2011/12,H,0.41542656249066,0.31654676258992803,0.09887979990073198,3.0,D,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-16|West Brom|Wolves,2011/12,H,0.6497001298798448,0.47482014388489213,0.1748799859949527,2.0,H,True,1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-22|Bolton|Sunderland,2011/12,D,0.3971228468645593,0.2968388589051658,0.10028398795939347,3.2,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-23|Arsenal|Stoke,2011/12,D,0.3017682923617718,0.23641982645905146,0.06534846590272031,4.0,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-23|Blackburn|Tottenham,2011/12,A,0.6596256847263309,0.4942630185348632,0.16536266619146767,1.91,A,True,0.9099999999999999
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-23|Fulham|Everton,2011/12,H,0.48512215796522834,0.4212076583210604,0.06391449964416795,2.25,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-29|Chelsea|Arsenal,2011/12,A,0.3628429602185984,0.17330837122225196,0.18953458899634645,5.5,A,True,4.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-29|Man City|Wolves,2011/12,H,0.8945400046326125,0.8138538734549015,0.08068613117771106,1.17,H,True,0.16999999999999993
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-29|West Brom|Liverpool,2011/12,H,0.32346953738844814,0.23741007194244607,0.08605946544600207,4.0,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-29|Wigan|Fulham,2011/12,A,0.4666233957385051,0.3791776382418473,0.08744575749665778,2.5,A,True,1.5
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-10-31|Stoke|Newcastle,2011/12,H,0.5453211282240019,0.4527177959791511,0.09260333224485079,2.1,A,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-05|Arsenal|West Brom,2011/12,D,0.2731122464603364,0.21080602302922938,0.062306223431107005,4.5,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-05|Blackburn|Chelsea,2011/12,A,0.7899526512616398,0.6559254456657416,0.1340272055958982,1.44,A,True,0.43999999999999995
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-05|Newcastle|Everton,2011/12,H,0.4821708316447517,0.4212076583210604,0.06096317332369133,2.25,H,True,1.25
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-05|QPR|Man City,2011/12,A,0.7693493147702407,0.7147962830593281,0.054553031710912636,1.33,A,True,0.33000000000000007
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-06|Wolves|Wigan,2011/12,A,0.28181180865524225,0.21838176444704685,0.0634300442081954,4.33,H,False,-1.0
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-19|Man City|Newcastle,2011/12,H,0.8378772502808882,0.7318695941450433,0.10600765613584495,1.3,H,True,0.30000000000000004
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-19|Norwich|Arsenal,2011/12,A,0.7785613607130794,0.5657627796668286,0.2127985810462507,1.67,A,True,0.6699999999999999
TRAINING,logistic_regression,fixed_edge_0.05,2011/12|2011-11-21|Tottenham|Aston Villa,2011/12,D,0.2936098707076656,0.23727959697732998,0.05633027373033561,4.0,H,False,-1.0
