season,date,home_team,away_team,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_odds,draw_odds,away_odds,source,match_date,match_id
2017/18,25/11/2017,Newcastle,Watford,0,3,A,0,2,A,12,12,2,4,6,3,8,13,1,2,0,0,2.2,3.5,3.5,Football-Data.co.uk,2017-11-25,2017/18|2017-11-25|Newcastle|Watford
2017/18,25/11/2017,Swansea,Bournemouth,0,0,D,0,0,D,10,9,1,5,4,5,18,6,4,2,0,0,2.79,3.25,2.79,Football-Data.co.uk,2017-11-25,2017/18|2017-11-25|Swansea|Bournemouth
2017/18,25/11/2017,Tottenham,West Brom,1,1,D,0,1,A,24,5,5,2,8,0,10,13,1,4,0,0,1.25,6.0,16.0,Football-Data.co.uk,2017-11-25,2017/18|2017-11-25|Tottenham|West Brom
2017/18,26/11/2017,Burnley,Arsenal,0,1,A,0,0,D,8,17,2,2,5,5,8,14,2,0,0,0,6.5,4.5,1.53,Football-Data.co.uk,2017-11-26,2017/18|2017-11-26|Burnley|Arsenal
2017/18,26/11/2017,Huddersfield,Man City,1,2,A,1,0,H,4,14,0,5,3,7,10,10,2,3,1,0,17.0,8.0,1.18,Football-Data.co.uk,2017-11-26,2017/18|2017-11-26|Huddersfield|Man City
2017/18,26/11/2017,Southampton,Everton,4,1,H,1,1,D,17,5,5,2,7,2,6,13,0,0,0,0,1.9,3.39,4.75,Football-Data.co.uk,2017-11-26,2017/18|2017-11-26|Southampton|Everton
2017/18,28/11/2017,Brighton,Crystal Palace,0,0,D,0,0,D,10,10,4,4,10,5,13,8,2,0,0,0,2.7,3.1,3.0,Football-Data.co.uk,2017-11-28,2017/18|2017-11-28|Brighton|Crystal Palace
2017/18,28/11/2017,Leicester,Tottenham,2,1,H,2,0,H,7,18,4,6,4,9,7,10,1,2,0,0,5.0,3.89,1.75,Football-Data.co.uk,2017-11-28,2017/18|2017-11-28|Leicester|Tottenham
2017/18,28/11/2017,Watford,Man United,2,4,A,0,3,A,12,15,3,7,5,5,12,10,2,1,0,0,5.25,3.89,1.72,Football-Data.co.uk,2017-11-28,2017/18|2017-11-28|Watford|Man United
2017/18,28/11/2017,West Brom,Newcastle,2,2,D,1,0,H,8,14,4,4,1,6,13,12,0,0,0,0,2.37,3.1,3.5,Football-Data.co.uk,2017-11-28,2017/18|2017-11-28|West Brom|Newcastle
2017/18,29/11/2017,Arsenal,Huddersfield,5,0,H,1,0,H,21,7,7,2,7,2,10,12,0,1,0,0,1.19,7.5,17.0,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Arsenal|Huddersfield
2017/18,29/11/2017,Bournemouth,Burnley,1,2,A,0,1,A,10,10,2,4,4,6,9,11,0,1,0,0,2.0,3.39,4.33,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Bournemouth|Burnley
2017/18,29/11/2017,Chelsea,Swansea,1,0,H,0,0,D,21,2,10,0,15,1,10,7,1,0,0,0,1.18,8.0,17.0,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Chelsea|Swansea
2017/18,29/11/2017,Everton,West Ham,4,0,H,2,0,H,8,7,5,3,2,6,16,6,2,1,0,0,2.37,3.29,3.29,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Everton|West Ham
2017/18,29/11/2017,Man City,Southampton,2,1,H,0,0,D,26,7,12,2,6,5,12,11,1,1,0,0,1.19,8.0,15.0,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Man City|Southampton
2017/18,29/11/2017,Stoke,Liverpool,0,3,A,0,1,A,10,14,1,7,5,9,8,10,1,5,0,0,6.5,4.5,1.55,Football-Data.co.uk,2017-11-29,2017/18|2017-11-29|Stoke|Liverpool
2017/18,02/12/2017,Arsenal,Man United,1,3,A,0,2,A,33,8,15,4,12,1,11,10,3,2,0,1,2.5,3.39,3.0,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Arsenal|Man United
2017/18,02/12/2017,Brighton,Liverpool,1,5,A,0,2,A,6,12,2,6,2,2,8,7,1,0,0,0,7.5,4.5,1.5,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Brighton|Liverpool
2017/18,02/12/2017,Chelsea,Newcastle,3,1,H,2,1,H,23,8,9,2,11,4,8,13,0,1,0,0,1.25,6.5,15.0,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Chelsea|Newcastle
2017/18,02/12/2017,Everton,Huddersfield,2,0,H,0,0,D,6,5,4,3,2,5,12,9,2,1,0,0,1.72,3.79,5.5,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Everton|Huddersfield
2017/18,02/12/2017,Leicester,Burnley,1,0,H,1,0,H,16,14,3,4,10,7,3,11,0,2,0,0,1.83,3.6,5.0,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Leicester|Burnley
2017/18,02/12/2017,Stoke,Swansea,2,1,H,2,1,H,10,10,3,3,2,6,12,10,2,0,0,0,1.95,3.39,4.5,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Stoke|Swansea
2017/18,02/12/2017,Watford,Tottenham,1,1,D,1,1,D,6,8,2,2,7,2,16,8,4,1,0,1,5.0,4.0,1.72,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|Watford|Tottenham
2017/18,02/12/2017,West Brom,Crystal Palace,0,0,D,0,0,D,20,10,6,2,3,7,11,10,3,1,0,0,2.5,3.2,3.2,Football-Data.co.uk,2017-12-02,2017/18|2017-12-02|West Brom|Crystal Palace
2017/18,03/12/2017,Bournemouth,Southampton,1,1,D,1,0,H,16,15,5,4,5,4,6,12,2,1,0,0,2.89,3.25,2.39,Football-Data.co.uk,2017-12-03,2017/18|2017-12-03|Bournemouth|Southampton
2017/18,03/12/2017,Man City,West Ham,2,1,H,0,1,A,24,7,8,4,10,4,5,7,2,2,0,0,1.08,11.0,21.0,Football-Data.co.uk,2017-12-03,2017/18|2017-12-03|Man City|West Ham
2017/18,09/12/2017,Burnley,Watford,1,0,H,1,0,H,8,11,5,2,3,5,10,12,1,0,0,1,2.6,3.25,3.0,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Burnley|Watford
2017/18,09/12/2017,Crystal Palace,Bournemouth,2,2,D,2,2,D,24,11,8,5,6,3,14,14,5,2,0,0,2.04,3.5,4.0,Football-Data.co.uk,2017-12-09,2017/18|2017-12-09|Crystal Palace|Bournemouth
